Japanese,Romaji,English,POS,Category,Register,Comment
おはよう,ohayoo,good morning,expression,social.greetings,casual,"Casual morning greeting"
おはようございます,ohayoo gozaimasu,good morning (polite),expression,formal.polite,polite,"Polite morning greeting; In Japanese workplaces, this is often used as the first greeting of the day regardless of the actual time."
こんにちは,konnichiwa,good afternoon,expression,social.greetings,neutral,"Standard daytime greeting"
こんばんは,konbanwa,good evening,expression,social.greetings,neutral,"Evening greeting"
さようなら,sayoonara,goodbye,expression,social.greetings,neutral,"Formal or long-term goodbye"
おやすみ,oyasumi,good night,expression,social.greetings,casual,"Said before sleep"
おやすみなさい,oyasuminasai,good night (polite),expression,formal.polite,polite,"Polite bedtime expression"
ありがとう,arigatoo,thank you,expression,social.expressions,casual,"Casual thank you"
ありがとうございます,arigatoo gozaimasu,thank you (polite),expression,formal.polite,polite,"Polite thank you"
すみません,sumimasen,excuse me; sorry,expression,social.expressions,neutral,"Used for apology or to get attention"
いいえ,iie,no,expression,core.basic,neutral,"Negative response"
いってきます,ittekimasu,I'll go and come back,expression,social.fixed,neutral,"Said when leaving home"
いってらっしゃい,itterasshai,please go and come back,expression,social.fixed,neutral,"Response to someone leaving"
ただいま,tadaima,I'm home,expression,social.fixed,neutral,"Said upon returning home"
おかえりなさい,okaerinasai,welcome home,expression,social.fixed,neutral,"Response to someone returning"
いただきます,itadakimasu,thank you for the meal (before eating),expression,social.fixed,neutral,"Said before eating"
ごちそうさまでした,gochisousama deshita,thank you for the meal (after eating),expression,social.fixed,neutral,"Said after finishing a meal"
はじめまして,hajimemashite,nice to meet you,expression,social.introduction,neutral,"Used at first meeting"
よろしくおねがいします,yoroshiku onegai shimasu,please treat me well,expression,social.introduction,polite,"Used when introducing oneself"
はい,hai,yes,expression,core.basic,neutral,"Affirmative response"
そうです,soo desu,that's right,expression,core.grammar,neutral,"Agreement statement"
そうですか,soo desu ka,I see; is that so?,expression,core.grammar,neutral,"Response to new information"
わたし,watashi,I; me,pronoun,person.self,neutral,"Standard neutral first-person pronoun"
ともだち,tomodachi,friend,noun,social.relationships,neutral,"General word for friend"
にほん,nihon,Japan,noun,geography.countries,neutral,"Country name"
アメリカ,amerika,USA,noun,geography.countries,neutral,"Country name written in katakana"
にほんご,nihongo,Japanese language,noun,language.basic,neutral,"Refers to Japanese language"
でんわ,denwa,telephone,noun,objects.communication,neutral,"Phone device"
なまえ,namae,name,noun,person.identity,neutral,"Personal name"
なん,nan,what,pronoun,core.basic,neutral,"Used before certain consonants"
なに,nani,what,pronoun,core.basic,neutral,"Basic interrogative"
いま,ima,now,noun,time.basic,neutral,"Present time"
ごぜん,gozen,A.M.,noun,time.clock,neutral,"Morning time marker"
ごご,gogo,P.M.,noun,time.clock,neutral,"Afternoon time marker"
いち,ichi,one,numeral,numbers.basic,neutral,"Number 1"
に,ni,two,numeral,numbers.basic,neutral,"Number 2"
さん,san,three,numeral,numbers.basic,neutral,"Number 3"
よん,yon,four,numeral,numbers.basic,neutral,"Alternative reading of 4"
し,shi,four,numeral,numbers.basic,neutral,"Alternative reading of 4"
ご,go,five,numeral,numbers.basic,neutral,"Number 5"
ろく,roku,six,numeral,numbers.basic,neutral,"Number 6"
なな,nana,seven,numeral,numbers.basic,neutral,"Alternative reading of 7"
しち,shichi,seven,numeral,numbers.basic,neutral,"Alternative reading of 7"
はち,hachi,eight,numeral,numbers.basic,neutral,"Number 8"
きゅう,kyuu,nine,numeral,numbers.basic,neutral,"Alternative reading of 9"
く,ku,nine,numeral,numbers.basic,neutral,"Alternative reading of 9"
じゅう,juu,ten,numeral,numbers.basic,neutral,"Number 10"
ひゃく,hyaku,one hundred,numeral,numbers.basic,neutral,"Number 100"
かぞく,kazoku,family,noun,social.family,neutral,"Refers to one's family"
おかあさん,okaasan,mother,noun,social.family,polite,"Used when addressing or referring politely"
おとうさん,otoosan,father,noun,social.family,polite,"Used when addressing or referring politely"
おねえさん,oneesan,older sister,noun,social.family,polite,"Used when addressing or referring politely"
おにいさん,oniisan,older brother,noun,social.family,polite,"Used when addressing or referring politely"
いもうと,imooto,younger sister,noun,social.family,neutral,"Refers to one's own younger sister"
おとうと,otooto,younger brother,noun,social.family,neutral,"Refers to one's own younger brother"
だいがく,daigaku,university,noun,education.institutions,neutral,"College or university"
こうこう,kookoo,high school,noun,education.institutions,neutral,"Secondary school"
がくせい,gakusee,student,noun,education.people,neutral,"General term for student"
せんせい,sensee,teacher; professor,noun,education.people,neutral,"Used for teachers and professionals"
いしゃ,isha,doctor,noun,occupations.professions,neutral,"Medical doctor"
かいしゃいん,kaishain,office worker,noun,occupations.professions,neutral,"Company employee"
